strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T1_blended_top5,2,4,0.0,5,0.0,False,796.8,58.35,-9.58,12.89,401,1046.0824196597355
T3_top5,7,14,0.0,5,0.6,False,664.71,63.48,-7.08,11.7,178,1044.7793316831683
T1_top5,5,10,0.0,1,0.0,True,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.55,True,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.55,False,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.58,True,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.58,False,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.6,True,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.6,False,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,1,0.0,False,2381.89,75.0,-22.84,9.37,72,1036.0821854026844
T1_top5,5,10,0.0,5,0.0,False,782.15,60.35,-9.08,12.19,396,1023.46810515873
T1_top5,5,10,0.0,5,0.55,False,782.15,60.35,-9.08,12.19,396,1023.46810515873
T1_top5,5,10,0.0,5,0.58,False,789.17,60.93,-9.25,12.29,389,1023.2262731707316
T1_top5,5,10,0.0,5,0.6,False,775.04,60.72,-9.25,12.21,387,998.8564292682927
T1_blended_top5,0,0,0.0,5,0.0,True,2453.68,79.17,-24.82,9.1,120,959.8051123160341
T1_blended_top5,0,0,0.0,5,0.55,True,2453.68,79.17,-24.82,9.1,120,959.8051123160341
T1_blended_top5,3,6,0.0,5,0.58,False,724.19,60.16,-9.1,12.25,384,950.0512376237625
T1_blended_top5,2,4,0.0,5,0.58,False,735.72,58.85,-9.58,12.55,384,942.2500945179586
T1_blended_top5,7,14,0.0,3,0.6,True,2364.04,74.75,-25.19,9.31,99,930.6320122184039
T1_top5,5,10,0.0,3,0.55,True,2081.39,71.88,-22.84,9.28,96,897.5121308724831
T1_top5,5,10,0.0,3,0.0,True,2081.39,71.88,-22.84,9.28,96,897.5121308724831
T1_top5,5,10,0.0,3,0.58,True,2081.39,71.88,-22.84,9.28,96,897.5121308724831
T1_top5,5,10,0.0,3,0.6,True,2081.39,71.88,-22.84,9.28,96,897.5121308724831
T1_blended_top5,5,10,0.0,3,0.6,False,1003.13,64.71,-12.02,10.44,204,881.3984024577572
T3_top5,2,4,0.0,3,0.55,False,861.08,64.92,-11.21,11.28,191,866.0165765765765
T3_top5,7,14,0.0,5,0.55,False,649.51,62.89,-8.55,11.59,194,856.2650157068061
T3_top5,2,4,0.0,3,0.6,True,1071.95,73.33,-11.84,9.2,75,851.5490654205607
T3_top5,2,4,0.0,3,0.55,True,1071.95,73.33,-11.84,9.2,75,851.5490654205607
T3_top5,2,4,0.0,3,0.0,True,1071.95,73.33,-11.84,9.2,75,851.5490654205607
T3_top5,2,4,0.0,3,0.58,True,1071.95,73.33,-11.84,9.2,75,851.5490654205607
T3_top5,3,6,0.0,3,0.55,True,1068.4,75.0,-12.4,9.4,68,829.2059701492537
T3_top5,3,6,0.0,3,0.0,True,1068.4,75.0,-12.4,9.4,68,829.2059701492537
T3_top5,3,6,0.0,3,0.6,True,1068.4,75.0,-12.4,9.4,68,829.2059701492537
T3_top5,3,6,0.0,3,0.58,True,1068.4,75.0,-12.4,9.4,68,829.2059701492537
T1_blended_top5,0,0,0.0,5,0.58,True,2221.52,78.99,-25.49,8.88,119,828.5623858059646
T3_top5,0,0,0.0,3,0.55,False,916.89,79.73,-10.53,9.2,74,811.1255854293148
